team,season,player,games,goals,assists,points
LAK,2011,Drew Doughty,79,22,29,51
LAK,2011,Jeff Carter,77,26,20,46
MIN,2011,MIN Player 1,71,43,49,92
MIN,2011,MIN Player 2,77,32,21,53
MIN,2011,MIN Player 3,77,22,25,47
MTL,2011,MTL Player 1,81,39,38,77
MTL,2011,MTL Player 2,76,16,42,58
MTL,2011,MTL Player 3,70,34,27,61
MTL,2011,MTL Player 4,73,24,30,54
MTL,2011,MTL Player 5,76,24,37,61
NSH,2011,NSH Player 1,74,35,37,72
NSH,2011,NSH Player 2,78,19,36,55
NSH,2011,NSH Player 3,73,19,36,55
NSH,2011,NSH Player 4,76,29,33,62
NJD,2011,NJD Player 1,80,33,36,69
NJD,2011,NJD Player 2,75,34,32,66
NJD,2011,NJD Player 3,74,28,34,62
NJD,2011,NJD Player 4,71,30,39,69
NJD,2011,NJD Player 5,73,22,36,58
NYI,2011,NYI Player 1,72,41,47,88
NYI,2011,NYI Player 2,75,22,28,50
NYI,2011,NYI Player 3,72,31,25,56
NYR,2011,NYR Player 1,78,31,33,64
NYR,2011,NYR Player 2,74,19,43,62
NYR,2011,NYR Player 3,78,30,23,53
NYR,2011,NYR Player 4,70,27,43,70
OTT,2011,OTT Player 1,73,36,39,75
OTT,2011,OTT Player 2,77,28,38,66
OTT,2011,OTT Player 3,71,18,44,62
PHI,2011,PHI Player 1,76,38,34,72
PHI,2011,PHI Player 2,72,33,23,56
PHI,2011,PHI Player 3,73,30,27,57
PHI,2011,PHI Player 4,78,26,35,61
PIT,2011,Sidney Crosby,74,34,44,78
PIT,2011,Evgeni Malkin,80,32,25,57
PIT,2011,Kris Letang,77,30,30,60
PIT,2011,PIT Player 4,70,34,28,62
PIT,2011,PIT Player 5,75,24,21,45
SJS,2011,Joe Thornton,72,26,30,56
SJS,2011,Patrick Marleau,79,17,32,49
SJS,2011,Logan Couture,78,18,29,47
SJS,2011,SJS Player 4,79,32,26,58
SJS,2011,SJS Player 5,78,16,28,44
STL,2011,STL Player 1,79,29,53,82
STL,2011,STL Player 2,81,34,32,66
STL,2011,STL Player 3,80,15,22,37
STL,2011,STL Player 4,81,32,36,68
TBL,2011,TBL Player 1,73,34,33,67
TBL,2011,TBL Player 2,78,30,20,50
TBL,2011,TBL Player 3,71,22,41,63
TOR,2011,TOR Player 1,77,42,51,93
TOR,2011,TOR Player 2,75,34,20,54
TOR,2011,TOR Player 3,72,19,27,46
TOR,2011,TOR Player 4,76,25,22,47
TOR,2011,TOR Player 5,80,30,35,65
VAN,2011,Henrik Sedin,79,29,46,75
VAN,2011,Daniel Sedin,71,15,29,44
VAN,2011,Ryan Kesler,80,27,21,48
WSH,2011,Alexander Ovechkin,80,27,34,61
WSH,2011,Nicklas Backstrom,77,31,20,51
WSH,2011,Mike Green,70,28,25,53
WPG,2011,WPG Player 1,81,38,41,79
WPG,2011,WPG Player 2,79,30,25,55
WPG,2011,WPG Player 3,70,29,43,72
WPG,2011,WPG Player 4,70,16,33,49
WPG,2011,WPG Player 5,77,26,31,57
